"Horodateur,""What is your gender?"",""What is your age group?"",""What is your current level of study?"",""How many hours per week do you dedicate to studying (outside class)?"",""How would you rate your overall academic performance?"",""I create a weekly study schedule and follow it."",""I often postpone studying until the last minute."",""I set clear goals for each study session."",""I regularly assess my understanding of the material while studying."",""When I do not understand something, I look for additional resources to learn it."",""What revision strategy do you find most effective? "",""I use digital tools ( e.g., Notion, Quizlet, Google Docs, ChatGPT) to organize my studies."",""Using digital tools have improved my academic performance."",""I prefer studying in groups rather than studying alone."",""Working with classmates helps me understand difficult topics better."",""I actively contribute to group study sessions (e.g., sharing notes, explaining concepts)"",""I start revising course material well before exams."",""I use active revision techniques (e.g., practice questions, flashcards, summaries)."",""How do you stay motivated to study regularly? (Short answer)"""
"2025/11/12 03:20:59 PM UTC+1,Female,Under 18,Other,Less than 5 hours,Good,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Teaching the material to someone else,Disagree,Disagree,Disagree,Agree,Neutral,Strongly agree,Strongly agree,Studying with friends for accountability"
"2025/11/12 11:32:35 AM UTC+1,Female,18-22,Other,Less than 5 hours,Average,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Practice questions and past papers,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly agree,Agree,Studying with friends for accountability"
"2025/11/13 07:09:48 PM UTC+1,Female,18-22,Other,5-10 hours,Good,Agree,Neutral,Strongly agree,Agree,Strongly agree,Group study sessions,Strongly agree,Agree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Setting small, achievable goals"
"2025/11/14 03:13:55 PM UTC+1,Male,18-22,Bachelor's,Less than 5 hours,Excellent,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Teaching the material to someone else,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Visualizing academic success"
"2025/11/14 04:15:50 AM UTC+1,Male,Under 18,PhD,5-10 hours,Excellent,Disagree,Agree,Disagree,Agree,Strongly agree,The Pomodoro technique,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Reminding myself of long-term goals"
"2025/11/14 10:04:02 PM UTC+1,Female,22-30,Bachelor's,10-15 hours,Excellent,Agree,Disagree,Strongly agree,Neutral,Agree,Flashcards and self-testing,Strongly agree,Agree,Strongly disagree,Agree,Neutral,Disagree,Agree,Studying with friends for accountability"
"2025/11/14 12:26:29 PM UTC+1,Male,18-22,PhD,10-15 hours,Excellent,Agree,Strongly disagree,Disagree,Neutral,Agree,Making detailed summaries,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Breaking tasks into manageable chunks"
"2025/11/14 12:57:03 PM UTC+1,Female,18-22,Other,Less than 5 hours,Good,Agree,Disagree,Strongly agree,Strongly agree,Agree,The Pomodoro technique,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,Disagree,Making study materials engaging"
"2025/11/15 02:35:09 PM UTC+1,Male,18-22,Master's,10-15 hours,Excellent,Neutral,Agree,Agree,Agree,Strongly agree,Flashcards and self-testing,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Agree,Visualizing academic success"
"2025/11/15 08:04:40 PM UTC+1,Male,30 or older,PhD,10-15 hours,Average,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Regular review sessions,Disagree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Creating a consistent study routine"
"2025/11/15 08:04:49 PM UTC+1,Female,22-30,Master's,Less than 5 hours,Poor,Strongly disagree,Disagree,Neutral,Agree,Neutral,Flashcards and self-testing,Strongly agree,Neutral,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Thinking about future career opportunities"
"2025/11/15 08:25:08 AM UTC+1,Male,22-30,Bachelor's,Less than 5 hours,Average,Disagree,Disagree,Disagree,Agree,Disagree,Group study sessions,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Agree,Reminding myself of long-term goals"
"2025/11/15 10:09:18 PM UTC+1,Male,Under 18,PhD,5-10 hours,Good,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Regular review sessions,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Setting small, achievable goals"
"2025/11/15 11:02:25 PM UTC+1,Male,18-22,Master's,10-15 hours,Excellent,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Creating study guides,Agree,Agree,Disagree,Neutral,Strongly disagree,Agree,Neutral,Studying with friends for accountability"
"2025/11/16 01:35:37 AM UTC+1,Female,22-30,Other,5-10 hours,Poor,Disagree,Agree,Disagree,Agree,Agree,Mind mapping,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Tracking progress in a study journal"
"2025/11/16 05:50:44 AM UTC+1,Female,18-22,Bachelor's,10-15 hours,Average,Neutral,Agree,Disagree,Strongly agree,Neutral,Active recall and spaced repetition,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Reminding myself of long-term goals"
"2025/11/16 08:50:03 PM UTC+1,Female,22-30,Other,Less than 5 hours,Good,Agree,Strongly agree,Disagree,Agree,Strongly agree,Active recall and spaced repetition,Disagree,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Tracking progress in a study journal"
"2025/11/16 11:37:27 PM UTC+1,Male,18-22,Master's,5-10 hours,Poor,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Making detailed summaries,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Thinking about future career opportunities"
"2025/11/17 02:41:01 PM UTC+1,Female,30 or older,Other,5-10 hours,Poor,Neutral,Agree,Agree,Neutral,Disagree,Practice questions and past papers,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Making study materials engaging"
"2025/11/17 06:27:50 AM UTC+1,Male,22-30,Other,5-10 hours,Good,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Creating study guides,Neutral,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Rewarding myself after study sessions"
"2025/11/17 11:55:44 PM UTC+1,Female,22-30,PhD,More than 15 hours,Excellent,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Creating study guides,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Tracking progress in a study journal"
"2025/11/18 01:09:26 PM UTC+1,Female,22-30,Other,10-15 hours,Excellent,Disagree,Strongly disagree,Neutral,Neutral,Agree,Regular review sessions,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Studying with friends for accountability"
"2025/11/18 12:07:56 AM UTC+1,Male,18-22,PhD,Less than 5 hours,Excellent,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Creating study guides,Neutral,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Rewarding myself after study sessions"
"2025/11/19 01:04:42 PM UTC+1,Male,22-30,Bachelor's,10-15 hours,Good,Neutral,Disagree,Agree,Neutral,Disagree,Mind mapping,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Studying with friends for accountability"
"2025/11/19 02:22:15 AM UTC+1,Female,22-30,PhD,Less than 5 hours,Average,Disagree,Agree,Neutral,Agree,Strongly agree,The Pomodoro technique,Agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Rewarding myself after study sessions"
"2025/11/19 03:48:17 AM UTC+1,Female,22-30,Bachelor's,5-10 hours,Good,Agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Group study sessions,Strongly disagree,Strongly agree,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Reminding myself of long-term goals"
"2025/11/19 04:04:19 PM UTC+1,Male,22-30,Bachelor's,Less than 5 hours,Poor,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Creating study guides,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Tracking progress in a study journal"
"2025/11/19 04:17:51 PM UTC+1,Female,22-30,Bachelor's,5-10 hours,Excellent,Neutral,Strongly disagree,Disagree,Neutral,Neutral,The Pomodoro technique,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Breaking tasks into manageable chunks"
"2025/11/19 04:56:53 AM UTC+1,Female,22-30,Master's,5-10 hours,Excellent,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Teaching the material to someone else,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Creating a consistent study routine"
"2025/11/20 03:00:22 PM UTC+1,Male,22-30,Other,5-10 hours,Good,Strongly agree,Agree,Agree,Neutral,Agree,Mind mapping,Neutral,Agree,Neutral,Neutral,Neutral,Strongly disagree,Agree,Setting small, achievable goals"
"2025/11/20 04:10:11 AM UTC+1,Female,22-30,Bachelor's,5-10 hours,Good,Neutral,Disagree,Neutral,Strongly agree,Agree,Regular review sessions,Neutral,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Tracking progress in a study journal"
"2025/11/21 02:44:38 PM UTC+1,Male,18-22,Master's,5-10 hours,Average,Agree,Disagree,Strongly disagree,Neutral,Strongly agree,Creating study guides,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Thinking about future career opportunities"
"2025/11/21 03:15:27 AM UTC+1,Male,22-30,Other,10-15 hours,Excellent,Neutral,Neutral,Disagree,Agree,Agree,Teaching the material to someone else,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Rewarding myself after study sessions"
"2025/11/21 03:50:44 AM UTC+1,Female,22-30,Master's,5-10 hours,Excellent,Agree,Neutral,Agree,Strongly agree,Neutral,Group study sessions,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Thinking about future career opportunities"
"2025/11/22 04:45:23 PM UTC+1,Female,30 or older,Bachelor's,Less than 5 hours,Average,Disagree,Agree,Strongly disagree,Neutral,Agree,Making detailed summaries,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly disagree,Disagree,Breaking tasks into manageable chunks"
"2025/11/22 04:51:29 AM UTC+1,Male,30 or older,Other,5-10 hours,Good,Agree,Neutral,Agree,Strongly agree,Strongly agree,The Pomodoro technique,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Tracking progress in a study journal"
"2025/11/22 06:03:35 PM UTC+1,Male,22-30,PhD,10-15 hours,Excellent,Strongly agree,Neutral,Agree,Strongly disagree,Neutral,Making detailed summaries,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Creating a consistent study routine"
"2025/11/22 09:46:34 PM UTC+1,Male,22-30,Master's,5-10 hours,Average,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly agree,Mind mapping,Agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Neutral,Agree,Setting small, achievable goals"
"2025/11/22 09:49:24 AM UTC+1,Male,30 or older,Master's,10-15 hours,Excellent,Strongly disagree,Agree,Agree,Agree,Disagree,Regular review sessions,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Strongly disagree,Agree,Rewarding myself after study sessions"
"2025/11/22 10:31:07 PM UTC+1,Female,30 or older,Master's,10-15 hours,Excellent,Strongly disagree,Disagree,Neutral,Strongly agree,Disagree,Making detailed summaries,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Tracking progress in a study journal"
"2025/11/23 04:58:54 PM UTC+1,Female,Under 18,Bachelor's,10-15 hours,Excellent,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Creating study guides,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Visualizing academic success"
"2025/11/23 07:54:49 PM UTC+1,Female,22-30,Master's,10-15 hours,Good,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Making detailed summaries,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Thinking about future career opportunities"
"2025/11/23 12:05:25 AM UTC+1,Male,30 or older,Master's,5-10 hours,Poor,Strongly disagree,Agree,Neutral,Agree,Neutral,Active recall and spaced repetition,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Making study materials engaging"
"2025/11/24 04:03:28 AM UTC+1,Female,22-30,PhD,More than 15 hours,Average,Disagree,Strongly disagree,Neutral,Strongly agree,Agree,Creating study guides,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Strongly agree,Visualizing academic success"
"2025/11/25 01:38:38 PM UTC+1,Female,22-30,Other,5-10 hours,Good,Strongly agree,Strongly agree,Neutral,Agree,Agree,Making detailed summaries,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Setting small, achievable goals"
"2025/11/25 05:24:29 PM UTC+1,Male,22-30,Master's,5-10 hours,Average,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,Mind mapping,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Visualizing academic success"
"2025/11/25 06:23:35 AM UTC+1,Male,Under 18,Other,10-15 hours,Excellent,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Group study sessions,Agree,Agree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Visualizing academic success"
"2025/11/26 12:59:19 AM UTC+1,Male,18-22,Master's,Less than 5 hours,Good,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Making detailed summaries,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Setting small, achievable goals"
"2025/11/27 03:12:15 PM UTC+1,Male,22-30,Master's,More than 15 hours,Excellent,Strongly agree,Neutral,Agree,Agree,Agree,Regular review sessions,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Visualizing academic success"
"2025/11/27 08:01:31 PM UTC+1,Male,22-30,PhD,5-10 hours,Excellent,Agree,Strongly disagree,Disagree,Disagree,Agree,The Pomodoro technique,Agree,Neutral,Strongly disagree,Strongly agree,Disagree,Strongly agree,Neutral,Breaking tasks into manageable chunks"
"2025/11/27 12:57:05 AM UTC+1,Female,18-22,Master's,5-10 hours,Good,Agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Mind mapping,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Neutral,Agree,Making study materials engaging"
"2025/11/28 01:44:16 PM UTC+1,Male,22-30,Master's,More than 15 hours,Excellent,Disagree,Disagree,Agree,Neutral,Agree,Active recall and spaced repetition,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Making study materials engaging"
"2025/11/28 03:01:47 AM UTC+1,Male,18-22,Master's,10-15 hours,Excellent,Strongly agree,Strongly disagree,Agree,Strongly disagree,Neutral,Regular review sessions,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Setting small, achievable goals"
"2025/11/28 03:06:55 PM UTC+1,Female,22-30,Other,5-10 hours,Average,Strongly agree,Neutral,Agree,Disagree,Disagree,The Pomodoro technique,Disagree,Agree,Strongly disagree,Disagree,Neutral,Disagree,Strongly agree,Thinking about future career opportunities"
"2025/11/28 09:39:34 AM UTC+1,Female,22-30,Master's,5-10 hours,Good,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Active recall and spaced repetition,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Strongly agree,Breaking tasks into manageable chunks"
"2025/11/29 05:10:11 AM UTC+1,Female,22-30,Other,5-10 hours,Average,Agree,Disagree,Disagree,Neutral,Neutral,Active recall and spaced repetition,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Studying with friends for accountability"
"2025/11/29 05:48:17 PM UTC+1,Male,18-22,Other,Less than 5 hours,Poor,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Making detailed summaries,Strongly agree,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Reminding myself of long-term goals"
"2025/11/29 06:41:40 AM UTC+1,Female,Under 18,PhD,5-10 hours,Poor,Disagree,Disagree,Neutral,Neutral,Neutral,Teaching the material to someone else,Neutral,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Studying with friends for accountability"
"2025/11/30 03:40:58 AM UTC+1,Male,18-22,Master's,5-10 hours,Poor,Strongly disagree,Strongly agree,Disagree,Agree,Agree,The Pomodoro technique,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Reminding myself of long-term goals"
"2025/11/30 03:41:45 PM UTC+1,Male,22-30,Bachelor's,Less than 5 hours,Poor,Neutral,Neutral,Disagree,Agree,Agree,Mind mapping,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Visualizing academic success"
"2025/12/01 03:53:57 PM UTC+1,Male,22-30,Master's,10-15 hours,Excellent,Agree,Disagree,Agree,Strongly agree,Agree,Practice questions and past papers,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Thinking about future career opportunities"
"2025/12/01 11:23:51 PM UTC+1,Female,22-30,PhD,10-15 hours,Excellent,Strongly agree,Agree,Agree,Strongly agree,Disagree,Flashcards and self-testing,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Reminding myself of long-term goals"
"2025/12/02 05:44:27 AM UTC+1,Male,18-22,Master's,More than 15 hours,Good,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,The Pomodoro technique,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Making study materials engaging"
"2025/12/02 08:46:41 PM UTC+1,Male,18-22,Other,5-10 hours,Excellent,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Group study sessions,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Studying with friends for accountability"
"2025/12/02 09:52:17 PM UTC+1,Female,22-30,Master's,5-10 hours,Good,Strongly agree,Strongly disagree,Agree,Agree,Agree,Making detailed summaries,Agree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Breaking tasks into manageable chunks"
"2025/12/03 03:15:12 AM UTC+1,Female,22-30,Master's,5-10 hours,Average,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Active recall and spaced repetition,Agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Tracking progress in a study journal"
"2025/12/03 03:33:29 PM UTC+1,Female,22-30,Master's,5-10 hours,Good,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Regular review sessions,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Making study materials engaging"
"2025/12/03 05:07:42 AM UTC+1,Female,18-22,PhD,10-15 hours,Average,Disagree,Neutral,Strongly disagree,Strongly agree,Agree,Making detailed summaries,Agree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Strongly disagree,Reminding myself of long-term goals"
"2025/12/04 02:56:22 PM UTC+1,Female,22-30,Other,5-10 hours,Average,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Group study sessions,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Tracking progress in a study journal"
"2025/12/04 05:02:29 PM UTC+1,Female,18-22,PhD,Less than 5 hours,Good,Strongly agree,Neutral,Strongly disagree,Strongly agree,Agree,Active recall and spaced repetition,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Studying with friends for accountability"
"2025/12/04 08:02:00 AM UTC+1,Male,22-30,PhD,Less than 5 hours,Average,Neutral,Agree,Strongly disagree,Strongly agree,Agree,Practice questions and past papers,Agree,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Strongly agree,Setting small, achievable goals"
"2025/12/04 09:51:22 PM UTC+1,Female,18-22,Bachelor's,5-10 hours,Good,Disagree,Disagree,Agree,Agree,Agree,Flashcards and self-testing,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Thinking about future career opportunities"
"2025/12/05 01:52:31 PM UTC+1,Female,22-30,PhD,10-15 hours,Excellent,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Regular review sessions,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Studying with friends for accountability"
"2025/12/05 03:55:54 AM UTC+1,Male,Under 18,Other,Less than 5 hours,Poor,Agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Creating study guides,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Tracking progress in a study journal"
"2025/12/05 04:29:17 PM UTC+1,Female,22-30,PhD,Less than 5 hours,Average,Strongly disagree,Neutral,Neutral,Strongly agree,Agree,Teaching the material to someone else,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,Creating a consistent study routine"
"2025/12/05 05:02:39 PM UTC+1,Female,18-22,PhD,More than 15 hours,Average,Agree,Strongly disagree,Agree,Strongly agree,Agree,Flashcards and self-testing,Strongly agree,Strongly disagree,Agree,Neutral,Disagree,Strongly disagree,Agree,Making study materials engaging"
"2025/12/05 07:27:13 PM UTC+1,Female,22-30,Other,More than 15 hours,Average,Agree,Disagree,Disagree,Neutral,Neutral,Creating study guides,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Visualizing academic success"
"2025/12/05 09:46:43 PM UTC+1,Male,30 or older,PhD,Less than 5 hours,Average,Strongly disagree,Disagree,Disagree,Strongly agree,Neutral,Mind mapping,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Agree,Making study materials engaging"
"2025/12/06 01:20:59 AM UTC+1,Male,22-30,Other,Less than 5 hours,Good,Neutral,Disagree,Strongly agree,Strongly agree,Neutral,Making detailed summaries,Strongly agree,Agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Tracking progress in a study journal"
"2025/12/06 01:41:06 PM UTC+1,Male,22-30,PhD,Less than 5 hours,Average,Disagree,Strongly agree,Agree,Disagree,Agree,Regular review sessions,Strongly agree,Agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Thinking about future career opportunities"
"2025/12/06 02:15:48 PM UTC+1,Male,22-30,Other,Less than 5 hours,Average,Disagree,Agree,Disagree,Neutral,Neutral,Creating study guides,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Rewarding myself after study sessions"
"2025/12/06 11:13:43 AM UTC+1,Female,22-30,PhD,10-15 hours,Excellent,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Practice questions and past papers,Strongly agree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Rewarding myself after study sessions"
"2025/12/07 01:35:26 AM UTC+1,Male,22-30,Master's,5-10 hours,Average,Disagree,Disagree,Disagree,Agree,Agree,Teaching the material to someone else,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Reminding myself of long-term goals"
"2025/12/07 05:26:56 AM UTC+1,Female,30 or older,Bachelor's,More than 15 hours,Good,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Active recall and spaced repetition,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Creating a consistent study routine"
"2025/12/07 08:44:35 PM UTC+1,Female,22-30,Bachelor's,Less than 5 hours,Poor,Disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Group study sessions,Neutral,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Reminding myself of long-term goals"
"2025/12/07 09:20:47 AM UTC+1,Male,18-22,Master's,10-15 hours,Excellent,Agree,Disagree,Neutral,Neutral,Strongly agree,The Pomodoro technique,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Rewarding myself after study sessions"
"2025/12/07 12:37:36 PM UTC+1,Female,Under 18,Other,Less than 5 hours,Average,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly agree,Mind mapping,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Visualizing academic success"
"2025/12/07 12:38:20 AM UTC+1,Male,Under 18,PhD,10-15 hours,Excellent,Neutral,Strongly disagree,Strongly agree,Strongly agree,Disagree,The Pomodoro technique,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Neutral,Reminding myself of long-term goals"
"2025/12/08 04:18:02 AM UTC+1,Male,30 or older,Bachelor's,Less than 5 hours,Average,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Flashcards and self-testing,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Setting small, achievable goals"
